"GEOID","state","R","density_log","private","hincome","R_death","sensitivitydensity"
16055,"ID",1.118503387,3.760741589,9.073659263,5.4457,NA,TRUE
16083,"ID",1.525868255,2.74217824,9.270580958,5.0778,0.698289681,TRUE
16087,"ID",1.092885651,0.996920689,8.233944954,3.7206,NA,TRUE
17001,"IL",0.935977689,3.410992792,9.168590504,5.1398,NA,TRUE
17007,"IL",1.811932153,4.310781524,9.357913811,6.6898,0.480244443,FALSE
17017,"IL",0.900022234,2.640149371,9.125393407,5.1997,NA,TRUE
17019,"IL",1.273058007,4.355795849,7.874354392,5.1692,NA,TRUE
17021,"IL",0.381350282,2.941331827,9.183133021,5.2415,NA,TRUE
17027,"IL",1.056196679,3.426018682,9.304798255,6.501,NA,FALSE
17031,"IL",4.415608048,7.659961295,6.996357123,6.2088,2.793889734,TRUE
17037,"IL",1.645711046,4.163792967,8.873381238,6.1086,NA,FALSE
17043,"IL",1.800666728,6.985641744,8.400382006,8.8711,1.596517321,TRUE
17073,"IL",1.133731095,3.164859758,9.366742998,5.725,NA,TRUE
17077,"IL",1.536296719,3.684033052,8.851993581,3.7802,NA,TRUE
17079,"IL",1.167647882,2.02445495,8.815101205,5.4951,NA,TRUE
17081,"IL",2.421399208,3.267533024,9.311568938,4.7617,0.813922852,TRUE
17089,"IL",2.370763367,5.946851302,8.953212194,7.6912,0.87625429,TRUE
17091,"IL",1.73421607,4.170440723,9.125449186,5.7981,0.93707778,FALSE
17093,"IL",1.946161971,4.92936732,9.10378332,9.1764,NA,FALSE
17095,"IL",1.768116641,3.350633147,9.144176305,4.3709,NA,TRUE
17097,"IL",2.364064208,6.417034987,8.523236247,8.6244,1.780664902,TRUE
17099,"IL",1.110451482,3.657136421,9.341398384,5.6243,NA,FALSE
17109,"IL",1.083871061,3.061664621,8.485356925,4.3724,NA,TRUE
17111,"IL",2.060309241,5.286465047,8.917429019,8.4803,NA,TRUE
17113,"IL",1.729246749,4.013251628,8.949733409,6.5813,NA,TRUE
17115,"IL",1.605800816,4.299325207,9.285000106,5.0444,0.516366923,TRUE
17119,"IL",2.146487298,4.978765653,9.2517882,5.789,2.205370809,TRUE
17133,"IL",0.882567506,3.498034242,9.189479638,8.1268,0.594056103,FALSE
17141,"IL",1.905178706,3.304286855,9.208732912,5.9707,NA,FALSE
17143,"IL",1.617787999,4.756057551,9.126843297,5.477,NA,TRUE
17145,"IL",0.981258233,2.972160033,9.524901286,4.8298,NA,FALSE
17157,"IL",0.824961393,3.111691896,9.327876594,5.2107,NA,FALSE
17161,"IL",2.027481249,4.891968523,9.143087633,5.263,NA,TRUE
17163,"IL",2.470988336,5.065892432,8.992546646,5.3681,2.173805911,TRUE
