county,state,fips,total_cases,total_deaths,cfr,cfr_percent,mean_daily_cfr,median_daily_cfr,std_daily_cfr,min_daily_cfr,max_daily_cfr
Henry,Iowa,19087,4492,57,0.012689225289403383,1.2689225289403383,0.015215667049262136,0.012580754845290717,0.011294614257596607,0.0,0.125
Jerome,Idaho,16053,4494,57,0.012683578104138851,1.268357810413885,0.011727739181655985,0.009080142123963679,0.008756523152123987,0.0,0.08333333333333333
Cortland,New York,36023,7256,92,0.012679162072767364,1.2679162072767365,0.010546281448236357,0.014547007382191493,0.007260194245989591,0.0,0.020768431983385256
Seminole,Florida,12117,71009,900,0.012674449717641426,1.2674449717641427,0.015458182542562008,0.014598320445790547,0.005650025860623227,0.0,0.02927927927927928
Traverse,Minnesota,27155,632,8,0.012658227848101266,1.2658227848101267,0.0077313143563081076,0.01011804384485666,0.006232502533923925,0.0,0.016891891891891893
Pawnee,Kansas,20145,1659,21,0.012658227848101266,1.2658227848101267,0.0073957944355890455,0.011092150170648464,0.0052582552312435355,0.0,0.013182674199623353
Saline,Arkansas,05125,20387,258,0.012655123362927356,1.2655123362927356,0.012131744334355564,0.012998355939169749,0.004323361220952587,0.0,0.034482758620689655
Edgefield,South Carolina,45037,4745,60,0.012644889357218124,1.2644889357218125,0.018546106062998714,0.013729246487867178,0.010697456136278878,0.0,0.08333333333333333
Chesterfield,Virginia,51041,48029,607,0.012638197755522705,1.2638197755522707,0.015365294855369123,0.015437553317873942,0.005828757817354168,0.0,0.04308797127468582
Hamilton,Tennessee,47065,71335,901,0.012630546015280016,1.2630546015280015,0.015416724668362348,0.010500164974865594,0.0197978519395476,0.0,0.11267605633802817
Elko,Nevada,32007,9820,124,0.012627291242362525,1.2627291242362524,0.01598802981036562,0.011209895632006184,0.019773420938318135,0.0,0.14285714285714285
Frederick,Virginia,51069,14580,184,0.01262002743484225,1.262002743484225,0.010946790673094441,0.012228622064687639,0.0032499413743693408,0.0,0.015706806282722512
Swain,North Carolina,37173,2298,29,0.012619669277632724,1.2619669277632724,0.013039857093508281,0.013795369069735828,0.005363441106645672,0.0,0.025
Barrow,Georgia,13013,16328,206,0.012616364527192553,1.2616364527192554,0.026520273755185342,0.013909604366988487,0.06344537862556424,0.01123110151187905,1.0
Greene,Pennsylvania,42059,6341,80,0.012616306576249802,1.2616306576249803,0.00901834222586816,0.011346279729434867,0.006392970465557662,0.0,0.037037037037037035
Traill,North Dakota,38097,1665,21,0.012612612612612612,1.2612612612612613,0.012074544817546589,0.015557487853416282,0.007384727122492108,0.0,0.01927437641723356
Abbeville,South Carolina,45001,4282,54,0.012610929472209247,1.2610929472209247,0.013973292515691337,0.015438247011952191,0.0073245887688946415,0.0,0.026865671641791045
Concho,Texas,48095,793,10,0.012610340479192938,1.2610340479192939,0.013399876352228939,0.014492753623188406,0.008118409874120552,0.0,0.045454545454545456
Beltrami,Minnesota,27007,8803,111,0.012609337725775304,1.2609337725775305,0.009945132133553788,0.01219153936545241,0.005953403034110799,0.0,0.01588235294117647
Millard,Utah,49027,2459,31,0.012606750711671411,1.260675071167141,0.00571459893962207,0.00740192855577471,0.004797213042941655,0.0,0.013124470787468248
Spencer,Kentucky,21215,3415,43,0.012591508052708639,1.259150805270864,0.00669909435750988,0.005279831045406547,0.005920078196827151,0.0,0.015337423312883436
Haskell,Kansas,20081,715,9,0.012587412587412588,1.2587412587412588,0.008862699942633495,0.005434782608695652,0.008265416129088553,0.0,0.021634615384615384
Racine,Wisconsin,55101,40917,515,0.012586455507490773,1.2586455507490772,0.01630354084882393,0.01517923979040173,0.00587922804045237,0.0,0.05357142857142857
Bryan,Oklahoma,40013,9385,118,0.012573255194459244,1.2573255194459243,0.01475556709003047,0.01124949779027722,0.023110609868864207,0.0,0.16666666666666666
Laurel,Kentucky,21125,14078,177,0.012572808637590567,1.2572808637590567,0.01926851438551834,0.009706439393939394,0.032436112088456565,0.0,0.2222222222222222
Blount,Tennessee,47009,25852,325,0.012571561194491722,1.257156119449172,0.014901407060967266,0.011429629008120765,0.011668578410037534,0.0,0.06666666666666667
St. Bernard,Louisiana,22087,7805,98,0.012556053811659192,1.2556053811659191,0.018938330988777664,0.014149581287900665,0.009224917689181178,0.0,0.046511627906976744
Chatham,North Carolina,37037,7885,99,0.012555485098287888,1.2555485098287889,0.02293681784993195,0.018937346726800676,0.011872599541251364,0.0,0.049664429530201344
Polk,Oregon,41053,8857,111,0.012532460200970983,1.2532460200970983,0.02585772145578568,0.014672686230248307,0.02565636307569228,0.0,0.12244897959183673
Pulaski,Illinois,17153,1197,15,0.012531328320802004,1.2531328320802004,0.007027208523961201,0.00894187779433681,0.004230075315410842,0.0,0.013192612137203167
Pickaway,Ohio,39129,13418,168,0.012520494857653898,1.2520494857653897,0.013144386724861585,0.013801380138013802,0.0039766419799917956,0.0,0.02040816326530612
Hamilton,Ohio,39061,131890,1649,0.012502843278489651,1.250284327848965,0.020290902956405288,0.015041753378467375,0.01377638667041717,0.0,0.060903732809430254
Shawano,Wisconsin,55115,8798,110,0.012502841554898841,1.250284155489884,0.01006244756520722,0.013277428371767994,0.006665152651543663,0.0,0.016093341380004022
Chautauqua,New York,36013,17677,221,0.012502121400690163,1.2502121400690163,0.01732259820916838,0.015867978419549348,0.012991148191977149,0.0,0.1
Thomas,Kansas,20193,1840,23,0.0125,1.25,0.010966456588256774,0.012799109627156371,0.006771547919310349,0.0,0.018502202643171806
Buchanan,Iowa,19019,3521,44,0.012496449872195399,1.2496449872195399,0.01227984062448244,0.013978494623655914,0.006436852605930499,0.0,0.029411764705882353
Jackson,North Carolina,37099,6327,79,0.012486170380907224,1.2486170380907224,0.01333801514577053,0.013102007883538673,0.007622912567823715,0.0,0.05555555555555555
Lamar,Mississippi,28073,11225,140,0.012472160356347439,1.247216035634744,0.015033367233269972,0.013788464772154027,0.004913387895824993,0.0,0.05555555555555555
Cheyenne,Nebraska,31033,1525,19,0.012459016393442624,1.2459016393442623,0.011276737134586741,0.014218009478672985,0.008424098327174709,0.0,0.02021276595744681
Hettinger,North Dakota,38041,562,7,0.012455516014234875,1.2455516014234875,0.010133299765490631,0.012048192771084338,0.005154348995500532,0.0,0.02054794520547945
Alachua,Florida,12001,43279,539,0.012454077035051641,1.245407703505164,0.009674688096647345,0.009965919063917089,0.004190951822178631,0.0,0.02127659574468085
Knox,Tennessee,47093,85554,1065,0.012448278280384318,1.2448278280384317,0.010920873399772794,0.01169141819205137,0.0036625553016526517,0.0,0.025477707006369428
Montcalm,Michigan,26117,13737,171,0.012448132780082987,1.2448132780082988,0.014770104601749913,0.014492753623188406,0.006739570258309315,0.0,0.0625
Calloway,Kentucky,21035,5625,70,0.012444444444444444,1.2444444444444445,0.014344229603918898,0.01256168685509197,0.010892129341638359,0.0,0.125
Onondaga,New York,36067,70960,882,0.012429537767756483,1.2429537767756482,0.027149399431960486,0.01910029803613534,0.01646768004432845,0.0,0.06522593320235756
Warren,Missouri,29219,6037,75,0.012423389100546628,1.242338910054663,0.0065866231848507656,0.00858281947301378,0.004716097858567468,0.0,0.01383508577753182
Rock,Nebraska,31149,161,2,0.012422360248447204,1.2422360248447204,0.014355051225341866,0.014925373134328358,0.007144172187199873,0.0,0.02666666666666667
Cuyahoga,Ohio,39035,227664,2828,0.012421814603977791,1.2421814603977792,0.02511896464412745,0.019123230928546772,0.013550876891468956,0.0,0.06093778507571611
Muskingum,Ohio,39119,18441,229,0.012417981671275962,1.2417981671275962,0.009689788829758223,0.012275847885720406,0.005375620476027117,0.0,0.019230769230769232
Dixon,Nebraska,31051,886,11,0.012415349887133182,1.2415349887133182,0.015821397201906947,0.013445378151260505,0.009015467753225594,0.0,0.045454545454545456
DeSoto,Mississippi,28033,35831,444,0.01239150456308783,1.239150456308783,0.011451893951960918,0.011855026122455654,0.002289363330201376,0.0,0.018207282913165267
Boone,Indiana,18011,11056,137,0.012391461649782923,1.2391461649782922,0.03552174876069967,0.015555049645537312,0.03575904289158899,0.0,0.14345991561181434
